line_number,summary
968,"President Obama claimed to Governor Romney during the third presidential debate on October 23rd, 2012 that he was not wrong about Romney's stance on government assistance to the U.S. auto companies during bankruptcy."
994,"MR. ROMNEY claimed during the third presidential debate on October 23rd, 2012 that the policies of the last four years have led to a decline in incomes for middle-income families, an increase in the number of Americans on food stamps, and a significant increase in national debt. He also mentioned meeting individuals in Appleton, Wisconsin and Philadelphia who are struggling to find employment."
762,"President Obama claimed to have reduced veterans' unemployment through the efforts of an organization called Joining Forces during the third presidential debate on October 23rd, 2012."
482,"Mr. Romney claimed during the third presidential debate on October 23rd, 2012 that he has experience in balancing budgets, including during his time as governor and at the Olympics. He also criticized President Obama for not balancing a budget and expressed his confidence in being able to balance the budget himself."
618,"In the third presidential debate on October 23rd, 2012, Mr. Romney claimed to the audience that it is essential for a president to show strength from the beginning and make it clear what is acceptable and not acceptable. He emphasized that an Iranian nuclear program is not acceptable and must not be allowed to develop nuclear capability. To achieve this, he advocated for the tightest possible sanctions and tougher diplomatic isolation."
97,"During the third presidential debate on October 23rd, 2012, President Obama criticized Governor Romney for his outdated foreign policies, comparing them to the social policies of the 1950s and the economic policies of the 1920s. He also accused Romney of being consistently wrong in his opinions on foreign policy matters, such as the Iraq War and nuclear treaties with Russia."
468,"President Obama claimed during the third presidential debate on October 23rd, 2012 that the budget he has put forward is driven by strategy and the need to keep the American people safe, rather than by politics or the desires of members of Congress."
614,"During the third presidential debate on October 23rd, 2012, Mr. Romney claimed that the actions and statements of President Obama, such as his apology tour and failure to support the Green Revolution in Iran, suggested weakness to the Iranian mullahs. He argued that these actions allowed Iran to continue their nuclear program, which is unacceptable and requires a president to show strength from the beginning."
693,"President Obama, during the third presidential debate on October 23rd, 2012, claimed that bringing Osama bin Laden to justice by moving heaven and earth to get him sends a message to the world and provides closure to those affected by the 9/11 attacks, such as a young woman named Peyton."
893,"President Obama claimed in the third presidential debate on October 23rd, 2012, that if Governor Romney's advice had been followed, the US would be buying cars from China instead of selling cars to China. He also argued that changing tax codes to benefit companies with profits overseas would result in job creation, but those jobs would be in places like China. Additionally, he emphasized the importance of investing in education and basic research to maintain the US's lead in clean energy technology. As evidence, he stated that US exports to China had doubled since he took office."
