line_number,summary
22,"Trump claims that the political system and the economy are rigged by insiders, big donors, big businesses, and bureaucrats, and that this rigged system needs to be fixed for the benefit of all Americans."
22,"Trump claims that the political system and the economy are rigged by insiders, big donors, big businesses, and bureaucrats, and that this rigged system needs to be fixed for the benefit of all Americans."
60,Trump claimed that the wave of globalization is wiping out the middle class and jobs in America. He argued that the country needs to reform its economic system to bring back manufacturing and protect American workers. Trump referenced George Washington and Abraham Lincoln to support his argument.
60,Trump claimed that the wave of globalization is wiping out the middle class and jobs in America. He argued that the country needs to reform its economic system to bring back manufacturing and protect American workers. Trump referenced George Washington and Abraham Lincoln to support his argument.
61,"Trump claimed to the audience at Trump NY Soho on June 22nd, 2016 that the wave of globalization is wiping out the middle class and jobs in America. He argued for the need to reform the economic system to bring back manufacturing and protect American jobs, citing the warnings of George Washington and Abraham Lincoln. Trump also blamed Bill and Hillary Clinton's trade policies for the devastation in cities and towns across America."
61,"Trump claimed during a debate at Trump NY Soho on June 22nd, 2016 that globalization is wiping out the middle class and jobs in America. He argued for the need to reform the economic system to ensure collective success and bring back manufacturing capabilities to the country. Trump also referenced George Washington and Abraham Lincoln to support his argument."
63,"Trump claimed that America needs to reform its economic system in order for everyone to succeed together and for the country to become rich again. He stated that this is what he means by ""America First."" Trump also argued that the country will be better off when it starts manufacturing its own products again, bringing back its once great manufacturing capabilities. He referenced George Washington's bill that called for the encouragement and protection of manufacturing in America. Trump further mentioned Abraham Lincoln's warning about the abandonment of protective policies leading to want and ruin among the people. He criticized Hillary Clinton for supporting Bill Clinton's NAFTA and China's entrance into the World Trade Organization, which he believes has resulted in the loss of nearly one-third of America's manufacturing jobs."
64,"Summary: Trump claims that America will be better off when it starts manufacturing its own products again and bringing back its manufacturing capabilities. He references George Washington's bill and Abraham Lincoln's warning about the abandonment of protective policies. Trump also blames Bill and Hillary Clinton's trade policies, including NAFTA and China's entrance into the World Trade Organization, for the loss of manufacturing jobs and the increase in the trade deficit with China. He criticizes Hillary Clinton's performance as Secretary of State."
72,"During a debate at Trump NY Soho on June 22nd, 2016, Donald Trump claimed that Hillary Clinton's support for certain agreements led to the loss of one-third of manufacturing jobs and a 40% increase in the trade deficit with China. He also accused her of allowing China to steal intellectual property and giving them millions of American jobs while enriching herself through the State Department. Trump cited the book ""Clinton Cash"" by Peter Schweitzer as evidence of the Clintons using their positions for personal gain."
73,"During a debate at Trump NY Soho on June 22nd, 2016, Donald Trump claimed that Hillary Clinton's time as Secretary of State resulted in a 40% increase in the trade deficit with China. He also accused her of allowing China to steal billions of dollars in intellectual property and giving millions of American jobs to China. Trump further alleged that the Clintons used the State Department to enrich themselves, with funds from the Chinese government being paid to their bank account while Hillary was negotiating with China. He concluded by stating that Clinton's support for the Trans-Pacific Partnership would lead to the outsourcing of more American jobs."
73,"During a debate at Trump NY Soho on June 22nd, 2016, Donald Trump claimed that Hillary Clinton's time as Secretary of State resulted in a 40% increase in the trade deficit with China. He also accused her of allowing China to steal billions of dollars in intellectual property and giving millions of American jobs to China. Trump further alleged that the Clintons used the State Department to enrich themselves, with funds from the Chinese government being paid to their bank account while Hillary was negotiating with China. He concluded by stating that Clinton's support for the Trans-Pacific Partnership would lead to the outsourcing of more American jobs."
83,"TRUMP claims that if Hillary Clinton is elected president, she will adopt the Trans-Pacific Partnership (TPP) and the United States will lose millions of jobs and economic independence. He accuses Clinton of betraying American workers on trade throughout her career and states that her foreign policy decisions have cost lives and unleashed ISIS."
