line_number,summary
73,"Clinton claimed that while it was a mistake to have a personal account and she would not do it again, the real question is the handling of classified material, in which she has a lot of experience."
165,Clinton claims that she views force as a last resort and will be careful in making decisions about sending military personnel into harm's way. She also states that there is no difference between her and her opponent regarding Libya.
221,Clinton claimed that she was outraged by the stories about the V.A. and emphasized the need to modernize and improve treatment options for veterans. She also stated that she would not allow the V.A. to be privatized.
240,"In the NBC commander in chief forum on September 7th, 2016, Matt Lauer asked Hillary Clinton to discuss the issue of veterans and suicide."
241,Clinton acknowledges the alarming rate of suicide among veterans and expresses her commitment to fixing the problems in the V.A.
358,"Trump claimed to have great judgment and knowledge of what is going on in the world, stating that he has made important decisions in the past. He also mentioned hearing Hillary Clinton say that he was not against the war in Iraq."
378,"During the NBC commander in chief forum on September 7th, 2016, Donald Trump claimed that he regretted some of the things he said, but emphasized that he had beaten 16 other candidates in the Republican primary, which was a record in the history of Republican politics."
439,"Trump claimed during the NBC commander in chief forum on September 7th, 2016 that the problem with defeating ISIS is that the US doesn't know what to do afterwards. He specifically mentioned the example of Iraq, stating that it was badly handled and became a disaster under President Obama's leadership. Trump criticized the decision to withdraw all troops from Iraq, suggesting that it should have never been invaded in the first place."
545,TRUMP claimed that he would have a very good relationship with many foreign leaders.
564,"During the NBC commander in chief forum on September 7th, 2016, Donald Trump claimed that it would be wonderful if the United States had a relationship with Russia and could work together to defeat ISIS. He also mentioned that President Obama and Putin did not appear to be getting along when he saw them staring at each other a few days prior."
571,"During the NBC commander in chief forum on September 7th, 2016, Donald Trump claimed that Vladimir Putin has an 82 percent approval rating according to various pollsters. He defended himself against criticism by Matt Lauer, who pointed out Putin's actions such as annexing Crimea and supporting Assad in Syria. Trump responded by saying that nobody knows for a fact if Putin was responsible for hacking the DNC computers and questioned whether Lauer wanted him to list President Obama's actions."
611,"Trump claimed that he has a powerful plan on his website to address the issue of long wait times for veterans, which he believes is one of the big problems in supporting veterans."
