line_number,summary
180,"Donald Trump claimed during a joint session of Congress on February 28th, 2017 that the current immigration system in the United States depresses wages for the poorest workers and puts pressure on taxpayers. He argued that adopting a merit-based immigration system, like those in Canada and Australia, would save money, increase wages, and help struggling families enter the middle class."
289,"Donald Trump claimed during a joint session of Congress on February 28th, 2017 that in order to create a safe and prosperous future, Americans must work with, not against, law enforcement. He emphasized the need to build cooperation and trust, rather than division, and highlighted the personal sacrifices made by police and sheriffs who leave behind loved ones every day."
73,"Donald Trump claimed during a joint session of Congress on February 28th, 2017 that he has directed the Department of Justice to form a task force on reducing violent crime and ordered various departments to coordinate a strategy to dismantle criminal cartels in the United States."
75,"Donald Trump claimed during a joint session of Congress on February 28th, 2017 that the United States has withdrawn from the Trans-Pacific Partnership. He also mentioned forming a council with Canada to support women entrepreneurs and directing the Department of Justice to form a task force on reducing violent crime. Additionally, he ordered various departments to coordinate a strategy to dismantle criminal cartels and expand treatment for drug addiction."
43,"Donald Trump claimed during a joint session of Congress on February 28th, 2017 that his administration will fulfill promises to the American people, including revitalizing dying industries, providing better care for veterans, strengthening the military, improving infrastructure, addressing the drug epidemic, and rejuvenating neglected inner cities."
67,"Donald Trump claimed during a joint session of Congress on February 28th, 2017 that the construction of the Keystone and Dakota Access Pipelines would create tens of thousands of jobs."
68,"Donald Trump claimed during a joint session of Congress on February 28th, 2017 that the construction of the Keystone and Dakota Access Pipelines would create tens of thousands of jobs. He also stated that he issued a directive for new American pipelines to be made with American steel. Additionally, he mentioned withdrawing the United States from the Trans-Pacific Partnership and forming a council with Canada to support women entrepreneurs."
168,"Donald Trump claimed during a joint session of Congress on February 28th, 2017 that he believes in free trade, but it must also be fair trade. He referenced Abraham Lincoln's warning about the negative consequences of abandoning protective policies and stated that it is time to heed his advice. Trump vowed to not let America and its companies be taken advantage of any longer and promised to bring back millions of jobs."
121,"Donald Trump claimed during a joint session of Congress on February 28th, 2017, that 94 million Americans are out of the labor force. The system fact-checked this claim and stated that it is misleading."
184,"Donald Trump claimed during a joint session of Congress on February 28th, 2017 that switching to a merit-based immigration system would save money, increase wages, and help struggling families enter the middle class. He believed that by focusing on improving jobs, wages, and national security, Republicans and Democrats could work together to achieve positive immigration reform."
191,"Donald Trump claimed during a joint session of Congress on February 28th, 2017 that he believes real and positive immigration reform is possible if the focus is on improving jobs and wages for Americans, strengthening national security, and restoring respect for laws. He also stated that a $1 trillion investment in infrastructure, financed through public and private capital, could create millions of new jobs."
313,"Donald Trump claimed that the husbands of Susan Oliver and Jessica Davis, Deputy Sheriff Danny Oliver and Detective Michael Davis, were killed by an illegal immigrant with a criminal record and two prior deportations, and that this individual should have never been in the country."
315,"Donald Trump, during a joint session of Congress on February 28th, 2017, claimed that he will never stop fighting for justice for the families of Deputy Sheriff Danny Oliver and Detective Michael Davis, who were killed by an illegal immigrant with a criminal record and prior deportations."
