line_number,summary
1445,"Donald Trump, during a speech at Trump CPAC on March 4th, 2019, expressed his concern about the presence of dangerous individuals within migrant caravans. He questioned the motives of those seeking asylum in America and mentioned the possibility of murderers being among them."
1452,"Donald Trump claimed at the Trump CPAC on March 4th, 2019 that when caravans are formed, countries like Guatemala, Honduras, and El Salvador are not sending their best and finest people to America."
1681,"Donald Trump claimed at the Trump CPAC on March 4th, 2019 that he endorsed someone named Mark who was a Trumper before Trump was a Trumper, and despite being down by 10, Mark won by 40."
1690,"Donald Trump claimed at the Trump CPAC on March 4th, 2019 that the Democratic Party should change its name to the ""Democrat Party"" because it sounds much better."
1469,"Donald Trump claimed at the Trump CPAC on March 4th, 2019 that the immigration system is stretched beyond its limits and that he declared a national emergency to address the national security crisis. He also mentioned the support he has received from the House and Senate, but emphasized the upcoming vote and the importance of considering precedent."
1469,"Donald Trump claimed at the Trump CPAC on March 4th, 2019 that the immigration system is stretched beyond its breaking point and that he declared a national emergency to address the national security crisis. He also mentioned the support he has received from the House and Senate, but emphasized the upcoming vote and the importance of considering precedent."
517,"Donald Trump claimed at the Trump CPAC on March 4th, 2019 that he saw a picture of practically no people, contradicting his previous statement about the large crowd size at the event."
1088,"Donald Trump claimed at the Trump CPAC on March 4th, 2019 that his father, a builder, used to say, ""Nobody ever got rich by sitting behind their desk."" He emphasized the importance of being on the construction site, working with contractors, and being vigilant to prevent any potential losses."
256,"Donald Trump claimed at the Trump CPAC on March 4th, 2019 that the 2016 election was the greatest election, even greater than the election of Andrew Jackson. He stated that people say this, but he himself did not explicitly make the claim. Trump also compared the election to the popularity of Ronald Reagan."
1306,"Donald Trump claimed that if he continues to defend conservative students, they will continue to defend him."
1414,"Donald Trump claimed at the Trump CPAC on March 4th, 2019 that the number of illegal immigrants in the US is far greater than any proportion of the population. He also mentioned the mistreatment of Angel Moms and the crimes committed by illegal immigrants. Additionally, he highlighted the humanitarian tragedy at the border and the dangers faced by women and children during their journey north."
1414,"Donald Trump claimed at the Trump CPAC on March 4th, 2019 that the number of illegal immigrants is far greater than any proportion of the population and that every crime committed by an illegal immigrant should never have happened. He also mentioned the heartbreaking humanitarian tragedy at the border, where innocent women and children are preyed upon by vicious coyotes, smugglers, and human traffickers. In his first speech as a presidential candidate, he mentioned the word ""rape."""
1415,"Donald Trump claimed at the Trump CPAC on March 4th, 2019 that the press criticized him for mentioning the word ""rape"" in his first speech when he ran for president."
1415,"Donald Trump claimed at the Trump CPAC on March 4th, 2019 that every crime committed by an illegal immigrant is a crime that should never have happened in the first place. He also mentioned the border crisis as a heartbreaking humanitarian tragedy, with innocent women and children being preyed upon by vicious coyotes, smugglers, and human traffickers. Trump expressed his disbelief at the press going after him when he mentioned the word ""rape"" in his first presidential speech."
