line_number,summary
22,"CLAIM: The system is rigged against the American people.

This claim was made by TRUMP during a debate at Trump NY Soho on June 22nd, 2016. TRUMP argues that the system is rigged by insiders who wrote the rules to keep themselves in power and in the money. He also mentions that the rigged system includes disastrous trade deals, big donors keeping down wages, big businesses leaving the country without consequences, and bureaucrats trapping kids in failing schools. TRUMP calls on Bernie Sanders' voters to join his movement in order to fix the system for all Americans."
22,"CLAIM: The system is rigged against the American people.

This claim was made by TRUMP during a debate at Trump NY Soho on June 22nd, 2016. TRUMP argues that the system is rigged by insiders who wrote the rules to keep themselves in power and in the money. He also mentions that the rigged system includes disastrous trade deals, big donors keeping down wages, big businesses leaving the country without consequences, and bureaucrats trapping kids in failing schools. TRUMP calls on Bernie Sanders' voters to join his movement in order to fix the system for all Americans."
60,"TRUMP claims at the Trump NY Soho debate on June 22nd, 2016 that the current economic system rewards companies for offshoring and punishes companies for doing business in America. He argues that this wave of globalization is wiping out the middle class and jobs. TRUMP believes that reforming the economic system will lead to collective success and make America rich again. He supports the idea of ""America First"" and emphasizes the need to bring back manufacturing capabilities to the country. TRUMP cites George Washington and Abraham Lincoln to support his argument, with Lincoln warning that abandoning protective policies will result in want and ruin among the American people."
60,"TRUMP claims at the Trump NY Soho debate on June 22nd, 2016 that the current economic system rewards companies for offshoring and punishes companies for doing business in America. He argues that this wave of globalization is wiping out the middle class and jobs. TRUMP believes that reforming the economic system will lead to collective success and make America rich again. He supports the idea of ""America First"" and emphasizes the need to bring back manufacturing capabilities to the country. TRUMP cites George Washington and Abraham Lincoln to support his argument, with Lincoln warning that abandoning protective policies will result in want and ruin among the American people."
61,"TRUMP claims that the wave of globalization is wiping out the middle class and jobs in America, and he believes that the economic system needs to be reformed to ensure everyone's success. He argues that America should prioritize its own manufacturing capabilities and bring back jobs to the country. TRUMP supports his claim by referencing George Washington's bill and Abraham Lincoln's warning about the consequences of abandoning protective policies. He also mentions witnessing the devastation caused by the trade policies of Bill and Hillary Clinton during his visits to cities and towns across America."
61,"TRUMP claims that the wave of globalization is wiping out the middle class and jobs in America, and he believes that the economic system needs to be reformed to ensure everyone can succeed together. He argues that America should prioritize its own manufacturing capabilities and bring back jobs to the country. TRUMP made these statements during a debate at Trump NY Soho on June 22nd, 2016."
63,"TRUMP claims that the economic system needs to be reformed in order for America to become rich again. He argues that bringing back manufacturing capabilities to the country will benefit the nation. TRUMP supports his claim by referencing the Founders' understanding of the importance of manufacturing in America and quoting Abraham Lincoln's warning about the consequences of abandoning protective policies. He also criticizes Bill and Hillary Clinton for their trade policies, specifically mentioning NAFTA and China's entrance into the World Trade Organization, which he believes have led to the loss of manufacturing jobs. This claim was made on June 22nd, 2016 at Trump NY Soho."
64,"CLAIM: Our country will be better off when we start making our own products again, bringing our once great manufacturing capabilities back to our shores.

TRUMP claims at the Trump NY Soho debate on June 22nd, 2016 that the United States will benefit from bringing back manufacturing capabilities and producing its own products. He argues that this will improve the country's economic situation."
72,"TRUMP claims that Hillary Clinton is responsible for the loss of nearly one-third of manufacturing jobs due to agreements she backed. He also accuses her of allowing China to steal intellectual property and giving them millions of American jobs. TRUMP further alleges that the Clintons used the State Department to enrich themselves, with funds being paid to their bank account while Hillary was negotiating with China. He concludes by stating that Hillary sold out American workers and the country to Beijing."
73,"CLAIM: Hillary Clinton's time as Secretary of State resulted in a 40% increase in the trade deficit with China, allowing China to steal billions of dollars in intellectual property and giving them millions of American jobs. Additionally, the Clintons used their positions to enrich themselves through speeches and negotiations with China. Hillary Clinton is also a strong supporter of the Trans-Pacific Partnership, which will further ship jobs overseas and give up Congressional power to an international commission."
73,"CLAIM: Hillary Clinton's time as Secretary of State resulted in a 40% increase in the trade deficit with China, and she allowed China to steal billions of dollars in intellectual property.

This claim was made by Trump during a debate at Trump NY Soho on June 22nd, 2016. Trump also argued that Clinton gave China millions of American jobs and enriched herself through the State Department. He referenced the book ""Clinton Cash"" by Peter Schweitzer, which alleged that the Clintons used their positions to benefit financially. Additionally, Trump criticized Clinton for supporting the Trans-Pacific Partnership, which he claimed would lead to the outsourcing of more American jobs."
83,"TRUMP claims that if Hillary Clinton is elected president, she will adopt the Trans-Pacific Partnership (TPP) and the United States will lose millions of jobs and economic independence. He argues that Clinton has a history of betraying American workers on trade and that her foreign policy decisions have cost America lives and trillions of dollars, as well as unleashed ISIS across the world."
84,"TRUMP claims that Hillary Clinton has deleted evidence of her support for the Trans-Pacific Partnership (TPP) and that if she is elected president, she will adopt the TPP, resulting in the loss of millions of jobs and economic independence. He argues that Clinton has consistently betrayed American workers on trade throughout her career, including the NAFTA deal. Trump emphasizes the need for trade deals that benefit the United States and its workers, stating that he will negotiate better deals once he becomes president. He also accuses Clinton of having a corrupt foreign policy that has cost America lives and trillions of dollars, and has contributed to the rise of ISIS. Trump specifically mentions the late Ambassador Chris Stevens as one of the victims of Clinton's decisions."
85,"TRUMP claims that if Hillary Clinton is elected president, she will adopt the Trans-Pacific Partnership, resulting in the loss of millions of jobs and economic independence for the United States. He argues that Clinton has consistently betrayed American workers on trade throughout her career, citing the negative impact of the Clintons' NAFTA deal. Trump emphasizes the need for trade deals that benefit the United States and its workers, stating that he will negotiate great deals once he becomes president. He also criticizes Clinton's foreign policy, blaming it for the loss of American lives, the spread of terrorism, and the rise of ISIS. Trump specifically mentions Ambassador Chris Stevens, who he claims was left to die while Clinton slept in her bed when the phone rang at 3 o'clock in the morning."
107,"TRUMP claims that Hillary Clinton's actions as Secretary of State have destabilized the Middle East. He argues that her invasion of Libya led to the rise of ISIS, her support for regime change in Syria fueled a bloody civil war and provided a launching pad for terrorism, and her role in forcing out a friendly regime in Egypt resulted in the rise of radical Islam. Additionally, Trump criticizes Clinton for announcing the departure date from Iraq, which he believes allowed ISIS to gain control. He concludes that Clinton's foreign policy decisions have led to numerous disasters in the region."
