line_number,summary
20,"TRUMP claims at the Trump draft RNC on July 21st, 2016 that the crime and violence afflicting the nation will come to an end, and safety will be restored starting on January 20th, 2017. He argues that the most basic duty of government is to defend the lives of its citizens, and any government that fails to do so is unworthy to lead. TRUMP asserts that it is time for a straightforward assessment of the state of the nation, and he promises to present the facts plainly and honestly. He criticizes political correctness and states that there will be no lies at the convention, as they will honor the American people with the truth."
21,"TRUMP claims that starting on January 20th, 2017, safety will be restored and that the most basic duty of government is to defend the lives of its own citizens. He argues that any government that fails to do so is unworthy to lead. TRUMP asserts that there has been a rollback of criminal enforcement by the current administration, which is reversing decades of progress made in bringing down crime."
22,"TRUMP claims that the most basic duty of government is to defend the lives of its own citizens and any government that fails to do so is unworthy to lead. He argues that there has been a rollback of criminal enforcement by the current administration, which has resulted in a 17% increase in homicides in America's fifty largest cities."
29,"CLAIM: Trump claims that the number of homicides in America's fifty largest cities increased by 17% last year, which is the largest increase in 25 years. He also states that killings have risen by 50% in the nation's capital, nearly 60% in nearby Baltimore, and over 2,000 shootings have occurred in Chicago this year alone. Additionally, Trump claims that more than 3,600 people have been killed in the Chicago area since President Obama took office. He further asserts that the number of police officers killed in the line of duty has risen by almost 50% compared to the previous year. Lastly, Trump claims that nearly 180,000 illegal immigrants with criminal records, who were ordered to be deported, are currently roaming free to threaten peaceful citizens."
40,"TRUMP claims that the administration is releasing tens of thousands of border-crossers into communities without considering the impact on public safety or resources. He supports this claim by mentioning a specific case in Nebraska where an innocent young girl named Sarah Root was killed by a released border-crosser. TRUMP argues that the administration does not value American lives and is sacrificing them for the sake of open borders. He also brings up the issue of the economy, stating that nearly four in ten African-American children are living in poverty and 58% of African American youth are unemployed."
47,"TRUMP claims during the Trump draft RNC on July 21st, 2016 that there are high rates of poverty among African-American children and unemployment among African-American youth. He also states that there are 2 million more Latinos in poverty compared to when President Obama took office, 14 million people have left the workforce, household incomes have decreased by over $4,000 since 2000, the manufacturing trade deficit is at an all-time high of nearly $800 billion, and President Obama has doubled the national debt to over $19 trillion. TRUMP questions what the country has to show for these economic challenges."
43,"TRUMP claims that the Obama Administration did not value the life of a young woman who was killed after graduating from college, and that they prioritize open borders over protecting American lives. He also argues that the economy has worsened under Obama, with high rates of poverty among African-American and Latino communities, a significant number of people leaving the workforce, and a decrease in household incomes."
187,"TRUMP claims that his immigration policy is the opposite of Hillary Clinton's and that Americans and communities want relief from uncontrolled immigration. He argues that Clinton's plan of mass amnesty and immigration will overwhelm schools and hospitals, reduce jobs and wages, and make it harder for recent immigrants to escape poverty. TRUMP also states that he has a different vision for workers, starting with a fair trade policy that protects jobs and stands up to cheating countries. He asserts that he will make the country rich again by turning bad trade agreements into great ones. This claim was made on July 21st, 2016 at the Trump draft RNC."
187,"TRUMP claims that his immigration policy is the opposite of Hillary Clinton's and that Americans and communities want relief from uncontrolled immigration. He argues that Clinton's plan of mass amnesty and immigration will overwhelm schools and hospitals, reduce jobs and wages, and make it harder for recent immigrants to escape poverty. TRUMP also states that he has a different vision for workers, starting with a fair trade policy that protects jobs and stands up to cheating countries. He asserts that he will make the country rich again by turning bad trade agreements into great ones. This claim was made on July 21st, 2016 at the Trump draft RNC."
160,"TRUMP claims that he only wants to admit individuals into the country who will support American values and love the American people. He argues that anyone who endorses violence, hatred, or oppression is not welcome in the country. TRUMP also states that decades of record immigration have resulted in lower wages and higher unemployment, particularly for African-American and Latino workers. He asserts that the immigration system needs to work for the American people. Additionally, TRUMP mentions three parents who lost their children to violence caused by illegal immigrants and emphasizes that he has been deeply affected by the time he has spent with these families. He criticizes his opponent for not meeting with these families or sharing in their pain."
