line_number,summary
27,"CLAIM: January 20, 2017, at the Trump inauguration in Washington, D.C., Donald Trump claims that January 20, 2017, will be remembered as the day the people became the rulers of this nation again, and that the forgotten men and women of the country will be forgotten no longer."
32,"Claim: January 20, 2017, at the Trump inauguration, Donald Trump claimed that a different reality exists for too many citizens of the United States."
32,"Claim: January 20, 2017, at the Trump inauguration, Donald Trump claimed that a different reality exists for too many citizens of the United States."
32,"Claim: January 20, 2017, at the Trump inauguration, Donald Trump claimed that a different reality exists for too many citizens of the United States."
33,"Donald Trump claimed during his inauguration on January 20, 2017, that the United States of America belongs to its people and that the government should be controlled by the people. He stated that this day would be remembered as the day the people regained control of the nation. Trump emphasized the importance of serving the citizens and meeting their demands for great schools, safe neighborhoods, and good jobs. He also highlighted the struggles faced by some citizens, such as poverty, decayed factories, and an inadequate education system."
33,"Donald Trump claimed during his inauguration on January 20, 2017, that the United States of America belongs to its people and that the government should be controlled by the people. He stated that this day would be remembered as the day the people regained control of the nation. Trump emphasized the importance of serving the citizens and meeting their demands for great schools, safe neighborhoods, and good jobs. He also highlighted the struggles faced by some citizens, such as poverty, decayed factories, and an inadequate education system."
33,"Donald Trump claimed during his inauguration on January 20, 2017, that the United States government should be controlled by the people and that January 20, 2017, would mark the day when the people regained control of the nation. He argued that the forgotten men and women of the country would no longer be ignored and that the nation should prioritize providing great schools, safe neighborhoods, and good jobs for its citizens. He also criticized the existence of poverty, rundown factories, and an education system that he believed failed to adequately educate students."
33,"Donald Trump claimed during his inauguration on January 20, 2017, that the United States government should be controlled by the people and that January 20, 2017, marked the day when the people regained control of the nation. He stated that the forgotten men and women of the country would no longer be forgotten and that the nation exists to serve its citizens. He also mentioned the need for great schools, safe neighborhoods, and good jobs for Americans, highlighting the challenges faced by some citizens such as poverty, rundown factories, and an inadequate education system."
40,"Donald Trump claimed during his inauguration on January 20th, 2017 that the United States has been enriching foreign industry at the expense of American industry and depleting its military while subsidizing the armies of other countries."
41,"Donald Trump claims during his inauguration speech on January 20th, 2017, that the United States has neglected its own citizens while prioritizing foreign interests. He argues that poverty, dilapidated factories, a failing education system, crime, gangs, and drugs have hindered the nation's potential. Trump pledges to end this ""American carnage"" and emphasizes his commitment to all Americans. He also criticizes the depletion of the military and the lack of defense for the nation's borders."
39,"Donald Trump, during his inauguration on January 20th, 2017, claimed that Americans want great schools, safe neighborhoods, and good jobs. He argued that these demands are just and reasonable. However, he also acknowledged that for many citizens, a different reality exists, with poverty, dilapidated factories, and an education system that fails to provide knowledge to students. Trump further highlighted the issues of crime, gangs, and drugs that have negatively impacted the country. He declared that this ""American carnage"" must stop and emphasized the unity of the nation, stating that the pain, dreams, and success of the people are shared by all Americans."
39,"CLAIM: Donald Trump claims that the ""American carnage"" stops right here and right now.

SUMMARY: During his inauguration on January 20th, 2017, in Washington D.C., Donald Trump claims that the ""American carnage"" stops immediately. He states that Americans want great schools, safe neighborhoods, and good jobs, but too many citizens are trapped in poverty, with rusted-out factories and an education system that fails to provide knowledge. He also mentions the issues of crime, gangs, and drugs. Trump asserts that the pain and dreams of the American people are shared, and his oath of office is an allegiance to all Americans."
42,"Donald Trump claimed during his inauguration on January 20th, 2017, that there is poverty in inner cities, rusted-out factories, an education system lacking knowledge, crime, gangs, drugs, and unrealized potential in the country. He stated that this ""American carnage"" needs to stop and that the pain and dreams of the people are shared by all Americans. Trump also argued that the country has enriched foreign industry at the expense of American industry, depleted the military, failed to defend its own borders, and neglected its infrastructure while spending trillions overseas."
61,"Donald Trump claimed during his inauguration on January 20th, 2017, that protection will lead to great prosperity and strength. He also stated that he will fight for the people with every breath in his body and will never let them down. Trump further asserted that America will start winning again, bringing back jobs, borders, wealth, and dreams. He promised to build new infrastructure across the nation and get people off welfare and back to work using American hands and labor."
61,"Donald Trump claimed during his inauguration on January 20th, 2017, that protection will lead to great prosperity and strength. He also stated that he will fight for the people with every breath in his body and will never let them down. Trump further asserted that America will start winning again, bringing back jobs, borders, wealth, and dreams. He promised to build new infrastructure across the nation and get people off welfare and back to work using American hands and labor."
61,"Donald Trump claimed during his inauguration on January 20th, 2017, that protection will lead to great prosperity and strength. He also stated that he will fight for the people with every breath in his body and will never let them down. Trump further asserted that America will start winning again, bringing back jobs, borders, wealth, and dreams. He promised to build new infrastructure across the nation and get people off welfare and back to work using American hands and labor."
61,"Donald Trump claimed during his inauguration on January 20th, 2017, that protection will lead to great prosperity and strength. He also stated that he will fight for the people with every breath in his body and will never let them down. Trump further asserted that America will start winning again, bringing back jobs, borders, wealth, and dreams. He promised to build new infrastructure across the nation and get people off welfare and back to work using American hands and labor."
