line_number,summary
106,"Donald Trump claims that he would have won the popular vote if he had campaigned for it during the debate at Trump ABC on January 26th, 2017. He argues that he would have gone to California and New York, among other places, where he did not campaign at all. Trump believes that winning the popular vote would have been easier than winning the Electoral College, although he acknowledges that the Electoral College is what ultimately matters. He also mentions the need to investigate voter registration, including issues such as dead people voting and individuals registered in multiple states, suggesting that there may have been illegal votes cast."
106,"Donald Trump claims that he would have won the popular vote if he had campaigned for it during the debate at Trump ABC on January 26th, 2017. He argues that he would have gone to California and New York, among other places, where he did not campaign at all. Trump believes that winning the popular vote would have been easier than winning the Electoral College, although he acknowledges that the Electoral College is what ultimately matters. He also mentions the need to investigate voter registration, including issues such as dead people voting and individuals registered in multiple states, suggesting that there may have been illegal votes cast."
106,"Donald Trump claims that he would have won the popular vote if he had campaigned for it during the debate at Trump ABC on January 26th, 2017. He argues that he would have gone to California and New York, among other places, where he did not campaign at all. Trump believes that winning the popular vote would have been easier than winning the Electoral College, although he acknowledges that the Electoral College is what ultimately matters. He also mentions the need to investigate voter registration, including issues such as dead people voting and individuals registered in multiple states, suggesting that there may have been illegal votes cast."
106,"Donald Trump claims that he would have won the popular vote if he had campaigned for it during the debate at Trump ABC on January 26th, 2017. He argues that he would have gone to California and New York, among other places, where he did not campaign at all. Trump believes that winning the popular vote would have been easier than winning the Electoral College, although he acknowledges that the Electoral College is what ultimately matters. He also mentions the need to investigate voter registration, including issues such as dead people voting and individuals registered in multiple states, suggesting that there may have been illegal votes cast."
106,"Donald Trump claims that he would have won the popular vote if he had campaigned for it during the debate at Trump ABC on January 26th, 2017. He argues that he would have gone to California and New York, among other places, where he did not campaign at all. Trump believes that winning the popular vote would have been easier than winning the Electoral College, although he acknowledges that the Electoral College is what ultimately matters. He also mentions the need to investigate voter registration, including issues such as dead people voting and individuals registered in multiple states, suggesting that there may have been illegal votes cast."
106,"Donald Trump claims that he would have won the popular vote if he had campaigned for it during the debate at Trump ABC on January 26th, 2017. He argues that he would have gone to California and New York, among other places, where he did not campaign at all. Trump believes that winning the popular vote would have been easier than winning the Electoral College, although he acknowledges that the Electoral College is what ultimately matters. He also mentions the need to investigate voter registration, including issues such as dead people voting and individuals registered in multiple states, suggesting that there may have been illegal votes cast."
106,"Donald Trump claims that he would have won the popular vote if he had campaigned for it during the debate at Trump ABC on January 26th, 2017. He argues that he would have gone to California and New York, among other places, where he did not campaign at all. Trump believes that winning the popular vote would have been easier than winning the Electoral College, although he acknowledges that the Electoral College is what ultimately matters. He also mentions the need to investigate voter registration, including issues such as dead people voting and individuals registered in multiple states, suggesting that there may have been illegal votes cast."
106,"Donald Trump claims that he would have won the popular vote if he had campaigned for it during the debate at Trump ABC on January 26th, 2017. He argues that he would have gone to California and New York, among other places, where he did not campaign at all. Trump believes that winning the popular vote would have been easier than winning the Electoral College, although he acknowledges that the Electoral College is what ultimately matters. He also mentions the need to investigate voter registration, including issues such as dead people voting and individuals registered in multiple states, suggesting that there may have been illegal votes cast."
109,"Donald Trump claimed during the debate that voter registration is flawed and that there are dead people, illegal immigrants, and individuals registered in multiple states who are voting. He stated this on January 26th, 2017, at the Trump ABC debate."
109,"Donald Trump claimed during the debate that voter registration is flawed and that there are dead people, illegal immigrants, and individuals registered in multiple states who are voting. He stated this on January 26th, 2017, at the Trump ABC debate."
