line_number,summary
472,"DELANEY claims during the Democratic debate in Detroit on July 30th, 2019 that Bernie Sanders' math regarding Medicare for all is wrong and that if all the bills were paid at Medicare rate, many hospitals in the country would close."
473,"DELANEY claims during the Democratic debate in Detroit on July 30th, 2019 that Bernie Sanders' math regarding a nonprofit healthcare system is wrong. He argues that if all bills were paid at the Medicare rate, as specified in section 1,200 of Sanders' bill, many hospitals in the country would close."
474,"DELANEY claims during the Democratic debate in Detroit on July 30th, 2019 that Bernie Sanders' math regarding a nonprofit healthcare system is wrong. He argues that if all bills were paid at the Medicare rate, as specified in section 1,200 of their bill, many hospitals in the country would close. DELANEY supports his claim by stating that rural hospital administrators have confirmed that they would close if all their bills were paid at the Medicare rate."
522,"WARREN claims that the provision making illegal border crossings a crime is totally unnecessary because it gives Donald Trump the ability to take children away from their parents. This claim was made during the democratic debate in Detroit on July 30th, 2019."
138,SANDERS claims in this line that the current healthcare system is dysfunctional.
139,"SANDERS claims during the Democratic debate in Detroit on July 30th, 2019 that the current healthcare system is dysfunctional, with 87 million uninsured or underinsured Americans, 500,000 going bankrupt due to medical bills, and 30,000 people dying annually while the healthcare industry makes significant profits."
1541,"WARREN claims during the Democratic debate in Detroit on July 30th, 2019 that implementing a wealth tax, specifically targeting the top one tenth of one percent of fortunes in the country, can fund universal childcare from zero to five."
1542,"Warren claims during the Democratic debate in Detroit on July 30th, 2019 that implementing a wealth tax is necessary. She argues that it is time to tax the top one tenth of one percent of fortunes in the country, with the first $50 million exempted. She suggests that for every dollar after the $50 million threshold, two cents should be contributed. Warren believes that with this tax, America can provide universal childcare from zero to five and universal pre-K for every 3-year-old and 4-year-old."
1543,"WARREN claims during the Democratic debate in Detroit on July 30th, 2019 that implementing a wealth tax, specifically targeting the top one tenth of one percent of fortunes, can fund various initiatives such as universal childcare from zero to five, universal pre-K for every 3-year-old and 4-year-old, and increasing the wages of childcare workers and preschool teachers."
1544,"WARREN claims during the Democratic debate in Detroit on July 30th, 2019 that by taxing the top one tenth of one percent of fortunes in the country, America can provide universal childcare from zero to five, universal pre-K for every 3-year-old and 4-year-old, raise the wages of every childcare worker and preschool teacher, and provide universal tuition-free college."
